,RA,Dec,dist,year,month,day
0,296.90818968622995,27.311617449379998,4909.8869433462205,1670.0,6.0,20.0
1,119.74713460741998,-43.82292316337,4161.3948894756,1673.0,1.0,12.0
2,254.87654035262,-12.890884001289999,804.6553676570578,1848.0,4.0,27.0
3,245.62824488223,-17.87869015043,6559.00828519105,1863.0,5.0,20.0
4,239.87565458206,25.92022211727,806.363033074633,1866.0,5.0,12.0
5,325.43304608912996,42.8413924798,1319.88208049313,1876.0,11.0,24.0
6,211.76516412998,20.74462658581,1167.41536770894,1877.0,5.0,30.0
7,30.47461727806,56.73428795163,3340.9054807745397,1887.0,12.0,19.0
8,259.15747247128996,24.44738036347,4017.72053867448,1892.0,7.0,8.0
9,104.68329193598,17.0360972454,1865.33869350841,1892.0,8.0,13.0
10,270.43010354425,-35.65744301312,1334.2601297302901,1893.0,4.0,30.0
11,232.34581917831002,-50.58347485375,2663.01459701735,1893.0,7.0,10.0
12,167.02796865131,-61.935144191540004,3728.34480817428,1895.0,4.0,8.0
13,277.1204587935,-27.9220197323,3564.66662353115,1897.0,9.0,21.0
14,285.46064986514,-13.16163392458,3025.23190622265,1898.0,3.0,8.0
15,290.10031005672994,-0.13394411735,6274.681814721409,1899.0,4.0,21.0
16,274.99013519271,-25.18741822981,2475.5274557797,1899.0,10.0,13.0
17,271.69033415299,-27.436895938990002,3618.8878520083595,1901.0,5.0,22.0
18,123.45198379937,-26.565762482320004,2470.64727591065,1902.0,11.0,19.0
19,101.05045555363,29.944947591140004,3097.1626728326396,1903.0,3.0,16.0
20,293.85641418367,0.7113689848100001,1093.7652762274301,1904.0,7.0,6.0
21,272.25860368687,-32.47520719255,4449.29402299558,1905.0,8.0,18.0
22,165.66103738392,-54.38595960895,4273.0899499242805,1905.0,12.0,5.0
23,222.039697016,-60.00771734009,254.643451617233,1906.0,2.0,14.0
24,268.52567169615,-34.35435884534,3617.3097547548,1906.0,4.0,24.0
25,270.0237237156,-27.553839598579998,5271.70947377695,1910.0,3.0,21.0
26,250.21003595878,-52.43077225733,1890.14574141132,1910.0,4.0,4.0
27,338.95205096664,52.716556848059994,1569.4649103662798,1910.0,12.0,30.0
28,33.1240857546,57.08873197063001,5167.61549269668,1912.0,1.0,12.0
29,103.72645133694999,32.14107157613,1318.1046571285099,1912.0,3.0,12.0
30,278.68101618416,-29.58031678666,4889.60842806263,1912.0,6.0,21.0
31,271.55920324796,-31.740511309499997,5213.02352012379,1914.0,8.0,12.0
32,281.44893484446,-6.41894915424,3664.6901943459998,1915.0,5.0,9.0
33,253.68322490084,-29.624262210340003,5033.33303685793,1917.0,4.0,25.0
34,276.69463787572005,-27.138910288,5527.4917142737595,1917.0,7.0,17.0
35,111.69626509893,-6.674916533769999,2848.59071787653,1918.0,2.0,4.0
36,282.22770293963,0.58408601758,310.8397128268549,1918.0,6.0,8.0
37,278.01866671872,-29.38687628488,1227.1933655952596,1919.0,3.0,11.0
38,273.53042982156,11.61167574168,3599.86718634218,1919.0,8.0,20.0
39,283.35439207612,29.2270967436,4492.714792949209,1919.0,12.0,6.0
40,299.60206965544,53.618565136730005,654.9105226942321,1920.0,8.0,20.0
41,275.74376530801004,-25.57981666598,1310.6896666408597,1924.0,4.0,30.0
42,270.12435919674,-34.60501402363,5251.127078547741,1924.0,5.0,13.0
43,98.90029505124001,-62.64009621953,504.05649366892095,1925.0,5.0,25.0
44,292.85781725238996,-6.42744367475,1494.9654545316198,1925.0,9.0,14.0
45,270.33759403447004,-26.41114335299,5191.19076570714,1926.0,6.0,14.0
46,274.32519229602,-23.64090110137,552.1490823055391,1926.0,7.0,16.0
47,284.00778212907,-3.3218889586500002,3049.94892271099,1927.0,7.0,30.0
48,287.81765745469,-29.833726672520005,4160.0013296096995,1927.0,9.0,30.0
49,79.85193771284,16.716784807699998,1897.31057951801,1927.0,11.0,18.0
50,266.06931750066,-35.72341218484,277.25460400106203,1928.0,6.0,21.0
51,273.86035359686,-23.38878349081,2979.69268574541,1928.0,7.0,24.0
52,200.26323763788997,1.8913685023500002,351.239757854791,1929.0,2.0,1.0
53,179.56376546772,-41.76896170997,372.0027815778351,1930.0,4.0,20.0
54,176.00328257610002,-60.560981278330004,4309.43348122957,1931.0,5.0,9.0
55,282.00191496351,-25.37278137487,3460.70071385739,1931.0,8.0,16.0
56,271.78629799972,-28.747874186159997,7230.538013753128,1933.0,6.0,30.0
57,106.02101765354,-23.759606084229997,4698.78414522838,1934.0,1.0,12.0
58,271.87604028831004,45.85909922391,493.5500528187969,1934.0,12.0,12.0
59,269.03129625049,-27.37142417481,1685.3610382640302,1936.0,6.0,10.0
60,333.9212032059,55.6170191188,1128.97729694124,1936.0,6.0,18.0
61,289.30700988356006,1.72268968874,2235.0222241441697,1936.0,9.0,18.0
62,272.2016130491,-34.33937435976,4311.372628822681,1936.0,10.0,3.0
63,291.64357663787996,7.60383386352,2512.57866173813,1936.0,10.0,7.0
64,268.8425986442,-33.249637798470005,7279.8695304337,1937.0,5.0,10.0
65,306.01593071395,33.86757438337,4054.7766426640997,1938.0,9.0,28.0
66,86.3431972592,9.07007010128,411.4560825226889,1939.0,1.0,18.0
67,264.70519895461,-22.84698878679,10295.0632701698,1939.0,7.0,15.0
68,100.94683033295,-2.02052586323,1412.6750000286302,1939.0,12.0,17.0
69,97.52382831208999,22.31610536295,2942.86704259934,1940.0,1.0,3.0
70,134.71262390318998,-53.338253888009994,4788.713857278739,1940.0,4.0,19.0
71,265.72486653953,-24.859242828850004,6120.19168904007,1940.0,8.0,3.0
72,267.84132417253,-37.41575327754,430.2697170901751,1941.0,3.0,9.0
73,276.46927524162004,-35.02427521717,4322.64286056368,1941.0,7.0,18.0
74,314.69778015651,35.94106359354,4534.7527690061,1942.0,9.0,8.0
75,122.94192195041,-35.35137460659001,794.6900465607249,1942.0,11.0,9.0
76,298.11661426354,8.47968831777,1738.02841178131,1943.0,9.0,5.0
77,271.92981247157996,-33.35474197046,4851.70621823462,1944.0,4.0,22.0
78,268.29816099395,-35.837335298570004,3871.7437995180603,1944.0,5.0,5.0
79,274.6271136002,-28.28800280904,5100.90838110372,1945.0,2.0,16.0
80,270.51636732677997,-30.10295928468,4679.69467454613,1945.0,8.0,7.0
81,276.34910489639,-20.199852527410002,3499.69146651311,1947.0,4.0,17.0
82,236.41283002407997,14.37539242283,3452.51083148587,1948.0,4.0,9.0
83,298.15709487352996,36.56471311705,5885.408329233101,1948.0,6.0,2.0
84,165.81608555512,-58.45723159216,3064.98389309711,1948.0,7.0,2.0
85,270.10844130571,-39.00957465198,4371.1466476877695,1949.0,3.0,23.0
86,261.53563321982,-39.0684546695,5121.137828601501,1949.0,5.0,21.0
